date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:06	9138/9138	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jul%202023%2010:28:05%20GMT	https://saveweb2zip.com/en	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/en.html	(from )
11:28:08	24/24	---M--	200	added ('OK')	text/plain	etag:W/%2218-BLBVaxXPdINlFSAXZzBEoFcTH60%22	https://saveweb2zip.com/robots.txt		(from )
11:28:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Jul%202023%2010:28:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/clone%20ttttt/www.googletagmanager.com/gtm.15445.delayed	(from https://saveweb2zip.com/en)
11:28:10	59020/59020	---MCZ	200	added ('OK')	text/css	etag:W/%22e68c-18895e556a1%22	https://saveweb2zip.com/css/allCss.min.css	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/css/allCss.min.css	(from https://saveweb2zip.com/en)
11:28:11	619/619	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226b-18895e556b5%22	https://saveweb2zip.com/images/logo.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/logo.svg	(from https://saveweb2zip.com/en)
11:28:12	438/438	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b6-18895e556b1%22	https://saveweb2zip.com/images/html.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/html.svg	(from https://saveweb2zip.com/en)
11:28:12	219701/219701	---M-Z	200	added ('OK')	application/javascript	etag:%2264be660f-147a4%22	https://mc.yandex.ru/metrika/tag.js	C:/My%20Web%20Sites/clone%20ttttt/mc.yandex.ru/metrika/tag.js	(from https://saveweb2zip.com/en)
11:28:14	490/490	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ea-18895e556b1%22	https://saveweb2zip.com/images/cssjavascript.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/cssjavascript.svg	(from https://saveweb2zip.com/en)
11:28:14	635/635	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2227b-18895e556b1%22	https://saveweb2zip.com/images/images.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/images.svg	(from https://saveweb2zip.com/en)
11:28:14	428/428	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ac-18895e556b1%22	https://saveweb2zip.com/images/fonts.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/fonts.svg	(from https://saveweb2zip.com/en)
11:28:15	685/685	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ad-18895e556c1%22	https://saveweb2zip.com/images/white-logo.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/white-logo.svg	(from https://saveweb2zip.com/en)
11:28:15	92/92	---MC-	302	error ('Found')	text/html	date:Wed,%2026%20Jul%202023%2010:28:14%20GMT	https://saveweb2zip.com/	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/index.html	(from https://saveweb2zip.com/en)
11:28:16	1620/1620	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654-18895e556c5%22	https://saveweb2zip.com/js/integrationsData.js	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/js/integrationsData.js	(from https://saveweb2zip.com/en)
11:28:16	94152/94152	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216fc8-18895e556c5%22	https://saveweb2zip.com/js/vue.min4.js	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/js/vue.min4.js	(from https://saveweb2zip.com/en)
11:28:16	4987/4987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22137b-18895e556c5%22	https://saveweb2zip.com/js/mainVue.js	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/js/mainVue.js	(from https://saveweb2zip.com/en)
11:28:17	89/89	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259-18895e556c5%22	https://saveweb2zip.com/js/tooltip.js	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/js/tooltip.js	(from https://saveweb2zip.com/en)
11:28:17	185/185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9-18895e556c1%22	https://saveweb2zip.com/images/select-arrow.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/select-arrow.svg	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:18	446/446	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221be-18895e556c1%22	https://saveweb2zip.com/images/preloader.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/preloader.svg	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:18	689362/689362	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a84d2-18895e556c1%22	https://saveweb2zip.com/images/main-backgound.svg	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/images/main-backgound.svg	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:18	49768/49768	---M--	200	added ('OK')	font/woff2	etag:W/%22c268-18895e556b1%22	https://saveweb2zip.com/fonts/garamondpremrpro-smbd-webfont.woff2	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/fonts/garamondpremrpro-smbd-webfont.woff2	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:19	62564/62564	---M--	200	added ('OK')	font/woff	etag:W/%22f464-18895e556b1%22	https://saveweb2zip.com/fonts/garamondpremrpro-smbd-webfont.woff	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/fonts/garamondpremrpro-smbd-webfont.woff	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:20	76424/76424	---M--	200	added ('OK')	font/woff	etag:W/%2212a88-18895e556b1%22	https://saveweb2zip.com/fonts/Suitcase%20Type%20Foundry%20-%20Atyp%20Regular%20Variable.woff	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/fonts/Suitcase%20Type%20Foundry%20-%20Atyp%20Regular%20Variable.woff	(from https://saveweb2zip.com/css/allCss.min.css)
11:28:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jul%202023%2010:28:20%20GMT	http://saveweb2zip.com/ru	C:/My%20Web%20Sites/clone%20ttttt/saveweb2zip.com/ru.15.delayed	(from https://saveweb2zip.com/)
